question,answer,keywords
在 TongWeb 管理控制台中，怎样将 “应用” 菜单收藏到 “我的收藏”？收藏后又该如何取消收藏呢？另外，“我的收藏” 菜单栏在什么情况下会消失呢？,将 “应用” 菜单收藏到 “我的收藏” 的操作步骤如下：。 1.登录 TongWeb 管理控制台。 2.切换到目标实例。 3.在左侧导航栏中，选择 “应用管理”>“应用”，进入应用列表页面。 4.单击列表右侧的 “★”，即可点亮该菜单，添加到 “我的收藏”。 取消收藏的方法：您也可以使用同样的方式，将 “★” 点灭，取消收藏的菜单。 “我的收藏” 菜单栏消失的情况：当 “我的收藏” 里的菜单全部都取消收藏后，“我的收藏” 菜单栏将会消失。,"TongWeb, 管理控制台、应用菜单、我的收藏、收藏操作、取消收藏、左侧导航栏、应用管理、目标实例"
在 TongWeb 管理控制台中，想要禁用一些不常用的功能，比如应用回收全部功能，具体应该怎么操作呢？操作完成后如何确认是否成功以及在哪里查看该功能是否已被禁用？,具体操作步骤如下：。 1.登录 TongWeb 管理控制台。 2.在控制台左上角，单击 “集中管理”，进入集中管理页面。 3.在左侧导航栏中，选择 “系统管理”>“功能定制”，进入功能定制页面。 4.根据需要勾选禁用功能，例如：应用回收全部功能。 5.单击 “更新”，即可完成禁用功能操作。若界面弹出 “功能定制更新成功”，则说明更新功能定制成功。 6.进入 “应用管理” 页面，可查看 “应用回收” 功能已隐藏。,"TongWeb, 管理控制台、功能定制、系统管理、应用回收、禁用、集中管理、应用管理"
在 TongWeb 管理控制台中，想要快速找到并跳转到指定的功能位置，听说可以使用其提供的搜索功能，具体该如何操作呢？例如我想找会话服务器相关功能，该怎么搜索呢？,具体操作步骤如下：。 1.登录 TongWeb 管理控制台。 2.在控制台右上角的搜索框中，输入待搜索的关键字。例如搜索会话服务器，输入 “会话”，即可弹出关键字相关的功能。 3.在弹出的关键字关联选项中，选择并单击指定功能，即可跳转到指定位置。,"TongWeb, 管理控制台、搜索功能、控制台右上角、关键字、会话服务器、跳转、指定位置"
在容器云环境下，想要以单个进程的模式来运行 TongWeb 服务器实例，应该怎么操作呢？这种模式适用于什么场景？操作前需要满足什么条件？并且这种模式下有哪些功能会受到影响呢？,"以单个进程模式运行 TongWeb 服务器实例适用于容器云环境下使用启动参数定制容器内存大小的场景。 注意事项：在此模式下，TongWeb 的启动参数、JVM 配置、持镜像模式、配置中心、配置文件自修复、版本升级、授权中心功能将自动关闭。 前置条件：请确保 “${tongweb.home}/version*.zip” 已解压。 操作步骤：。 1.首先，请设置如下环境变量： export TONGWEB_DEST_PATH=/home/tongweb/ export TONGWEB_VERSION=x.x.x.x export JAVA_OPTS=-Xms2048M -Xmx2048M 说明：。 ◦ TONGWEB_DEST_PATH：TongWeb 的安装根目录，即 ${tongweb.home}；。 ◦ TONGWEB_VERSION：运行的TongWeb的版本，即 ${tongweb.home} 下 version目录名称的 “” 部分；。 ◦ JAVA_OPTS：设置 JVM 启动参数，如 ""-Xms2048M -Xmx2048M"" 等。 2.进入安装根目录 “${tongweb.home}/bin”。 3.执行如下命令，启动 TongWeb 服务器实例：sh standalone.sh。","TongWeb、单个进程模式、容器云、启动参数、JVM, 配置、环境变量、standalone.sh、安装根目录"
在执行 TongWeb 启动命令的时候，想要即时传递并修改服务器的配置参数，像 JVM 内存、资源配置这些，具体该怎么操作呢？在操作过程中有哪些需要注意的地方？,在执行 TongWeb 启动命令时可以即时传递并修改服务器的配置参数，如 JVM 内存、资源配置等。 注意事项：。 1.要使用此功能，启动命令后面必须先加域名，再加配置参数，多个配置参数以空格隔开。 2.一组参数（如 “-Dlog.logs=sever.log”）需加双引号，否则 cmd 窗口可能会把此类参数变为两个参数 “-Dlog” 和 “.logs=sever.log”。 3.由于操作系统限制，不支持 ${xx} 变量符，请用真实的参数代替。,"TongWeb、启动命令、配置参数、JVM, 内存、资源配置、域名、双引号、变量符"
想要修改 TongWeb 的堆内存，应该使用怎样的命令来操作呢？具体的命令格式和参数是什么样的？,"可以使用命令 “startserver.bat domain1 ""-Xms2048m"" ""-Xmx2048m""” 来修改堆内存，其中 “startserver.bat” 是启动服务器的命令，“domain1” 是域名（启动命令后需先加域名），“-Xms2048m” 表示设置初始堆内存大小为 2048 兆字节，“-Xmx2048m” 表示设置最大堆内存大小为 2048 兆字节。",TongWeb、堆内存、startserver.bat、-Xms、-Xmx、domain1
在 TongWeb 中，想要设置启用轻量模式并且开启自动部署功能，应该通过怎样的操作来实现呢？具体使用什么命令以及命令中的参数含义是什么？,"在 TongWeb 中设置启用轻量模式和自动部署，可以使用命令 “startserver.bat domain1 ""tongweb.server.liteMode=true"" ""tongweb.server.autoDeploy=true""”。其中 “startserver.bat” 是启动服务器的命令，“domain1” 是域名（启动命令后需先加域名）；“tongweb.server.liteMode=true” 这个参数表示启用轻量模式，“tongweb.server.autoDeploy=true” 这个参数表示开启自动部署功能。",TongWeb、startserver.bat、domain1、轻量模式、liteMode、自动部署、autoDeploy
在 TongWeb 的多实例场景中，对于 Windows 和 Linux 系统，分别要怎样启动默认实例和指定实例呢？并且在多个实例都开启 “自启动” 的情况下，启动默认实例会有什么情况发生？,在 TongWeb 多实例场景下： Windows 系统： 。进入 “${tongweb.home}/windows” 目录。启动当前主机的默认实例，执行命令 “startserver.bat”。若当前主机下存在多个实例，且多个实例均开启 “自启动”，则启动默认实例的同时，由默认实例带动其他实例同步启动。启动指定实例，执行命令 “startserver.bat 实例名”。 Linux 系统： 。进入 “${tongweb.home}” 目录。启动当前主机的默认实例，执行命令 “./startserver.sh”。若当前主机下存在多个实例，且多个实例均开启 “自启动”，则启动默认实例的同时，由默认实例带动其他实例同步启动。启动指定实例，执行命令 “./startserver.sh 实例名” 。,TongWeb、多实例、默认实例、指定实例、startserver.bat、startserver.sh、Windows、Linux、自启动
在 TongWeb 的多实例场景中，对于 Windows 和 Linux 系统，分别要怎样停止默认实例和指定实例呢？停止操作有哪些不同的方式（正常停止和强制停止）？,在 TongWeb 多实例场景下： Windows 系统： 。进入 “${tongweb.home}/windows” 目录。停止当前主机的所有实例（即停止默认实例并带动其他实例停止），执行命令 “stopserver.bat”。停止指定实例，执行命令 “stopserver.bat 实例名”。强停指定实例，执行命令 “forcestop.bat 实例名”。 Linux 系统： 。进入 “${tongweb.home}” 目录。停止当前主机的所有实例（即停止默认实例并带动其他实例停止），执行命令 “./stopserver.sh”。停止指定实例，执行命令 “./stopserver.sh 实例名”。强停指定实例，执行命令 “./forcestop.sh 实例名”。,TongWeb、多实例、停止实例、默认实例、指定实例、stopserver.bat、stopserver.sh、forcestop.bat、forcestop.sh、Windows、Linux
在 TongWeb 中，想要通过命令行来操作集群下的实例，比如查看集群、节点、实例下的应用列表，具体该如何操作呢？操作前需要进行哪些步骤？相关命令中的参数又是什么意思呢？,操作步骤如下：。 1.登录控制台创建名为 cluster0 的集群。 2.单击该集群的 “管理” 即进入其管理页面，可部署应用或进行其它操作。 3.通过命令行查看该集群下的应用，使用命令：commandstool.bat --username=thanos --password=xxx --acceptAgreement=true --model=app --action=list targetType=cluster targetName=cluster0 。查看某个节点下的应用列表，使用命令：commandstool.bat --username=thanos --password=xxx --acceptAgreement=true --model=app --action=list targetType=node targetName = 要查看的节点名称 。查看某个实例下的应用列表，使用命令：commandstool.bat --username=thanos --password=xxx --acceptAgreement=true --model=app --action=list targetType=instance targetName = 要查看的实例名称 。 参数说明： 。targetType：对应节点、集群、实例、注册实例的模块名，分别为 “node”、“cluster”、“instance”、“servicediscovery”。targetName：对应节点、集群、实例、注册实例的名称。,TongWeb、命令行、cluster0、commandstool.bat、targetType、targetName、集群、节点、实例、应用列表
了解tongweb可以部署哪些应用,支持 Web 应用（.war）、EJB 应用（.jar）、Connector 应用（.rar）、EAR 应用（.ear）、其他应用（.car）这五种类型。,TongWeb、应用类型、部署类型
了解web应用的结构组成,由动态资源（如 JSP、Servlet、JSP Tag 库等）和静态资源文件（如 HTML 页面和图片文件等）组成，还包含 WEB - INF 目录，其中 classes 存放应用所需类和资源，lib 存放类包，web.xml 是 Java EE 标准部署描述文件（Java EE8 规范中可无此文件 ）。,TongWeb、应用类型、web应用组成
了解ejb应用,基于分布式事务处理，用于开发和部署多层结构、分布式、面向对象的 Java 应用系统，借助应用服务器及 EJB 容器提供的系统级服务，简化开发者对大型企业级应用业务逻辑的开发工作,TongWeb、应用类型、ejb应用
了解Connector应用,它是一种资源适配器，主要由符合 JCA 规范的 Connector 应用类（JAR 包形式）和符合 Java EE 标准的部署描述文件 “ra.xml” 组成，允许 Java EE 应用组件访问企业信息系统的底层资源管理器并交互 。,TongWeb、应用类型、Connector应用
了解EAR应用,EAR 应用作为企业级应用的项目集合，可将多个 jar 和 war 文件打包在一个 ear 文件中，便于在应用服务器中整体部署，能包含 Web 应用、EJB 应用和公用包等多个 Java EE 应用或组件 。,TongWeb、应用类型、ear应用
了解CAR应用,"非标准格式的其他应用, 选择此类应用文件后，只能通过后台获取其应用 类型。",TongWeb、应用类型、car应用
未命名知识点,,
支持部署类型,文件部署和目录部署,TongWeb、应用部署、部署类型
了解文件部署和目录部署,文件部署以应用包形式部署，支持所有应用类型，默认部署到 “${tongweb.base}/deployment” 目录，指定位置部署时原地解压；目录部署以展开目录形式进行，支持多种应用类型，方便频繁修改文件的应用 。,TongWeb、应用管理、文件部署、目录部署
外部或者共享jar 如何配置到tongweb,将需要的 jar 文件放入 “或{tongweb.base}/lib/system” 目录下，可使系统自动加载这些 jar 文件，适用于应用程序需要外部 jar 包、使用 -javaaagent 参数时等场景 。,TongWeb、应用管理、类加载、外部jar、配置jar、共享jar
tongweb是如何加载class的,加载模式分为父优先和子优先，若指定了类库，则会按照类库中的jar包的顺序加载。子优先包含强制从应用 加载的类、强制从 TongWeb 加载的类、加载应用实现、Web 兼容模式。,TongWeb、应用管理、类加载机制
tongweb类加载器,父优先优先加载 TongWeb 自带类；子优先优先加载应用自带的类。子优先还包含强制从应用加载的类、强制从 TongWeb 加载的类、加载应用实现、Web 兼容模式等细分模式 。,TongWeb、应用管理、类加载模式、父优先、子优先
了解如何使用类加载,应用部署时，推荐使用“默认”配置。若部署应用出现类加载不对的问题时，请根据日志进行排查，Web 应用建议打开 “Web 兼容模式”，ejb-jar、ear 应用不能开启 “Web 兼容模式”，可配置 “加载应用实 现”。,"TongWeb、应用管理、类加载模式、Web, 兼容模式"
web兼容模式的作用,适用于基于 Tomcat 或其它 Servlet 容器开发的应用，开启此模式可关闭 EJB、JCA 等服务，尝试从应用自身加载 JSF、JavaMail、WebService、XML 等技术实现，以提升兼容性,"TongWeb、应用管理、Web, 兼容模式"
支持多种方式进行应用部署,分为单节点部署和集群部署；可以通过控制台部署（通过控制台上传或指定服务器位置）、自动部署（开启后将应用程序包或目录放于自动部署目录）、热部署（开启 “热加载” 后修改文件自动重新部署）、命令行部署（使用 commandstool 脚本）这几种方式 实现部署,TongWeb、应用部署、部署方式
了解控制台部署,通过控制台上传，在控制台选择并上传应用包，如 *.war ， *.ear 等格式的文件；指定服务器位置， 如果您已将应用程序包放置在服务器的某个位置，您可以在控制台指定该位置，以便服务器能够找到并部 署该应用程序包，当指定位置后，系统部署应用时，将不会解压到 “${tongweb.base}/deployment” 目录，而是直接原地 解压部署。,TongWeb、应用管理、控制台部署
控制台部署注意事项,支持部署特定嵌入式版本开发的 SpringBoot 应用 jar 包，需开启 “SpringBoot 兼容”；支持同时部署 “javax” 和 “Jakarta” 命名空间的应用，需开启 “命名空间兼容”（仅用于 POC 测试）；上传文件功能默认关闭；手动修改 tongweb.xml 时，“appId” 参数值必须与应用文件夹名称一致 。,TongWeb、应用管理、控制台部署、控制台部署步骤
如何进行控制台部署,1. 登录 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“应用管理”>“应用”，进入应用列表页面。 4. 单击 “部署”，进入部署应用页面。 5. 设置服务器上应用程序的部署路径、选择 “虚拟主机” 以及设置 “启动优先级”。 ◦ 上传文件:控制台默认关闭上传文件功能。若需要开启，请参见禁用文件上传。 ◦ 应用回收:默认开启，应用卸载后自动回收到应用回收中，用户可在应用回收列表中查看。关于应用 回收的信息，详见应用回收。 ◦ 其他参数:请根据需要配置，详细配置说明请参见应用参数配置说明。 “加载 Class-path 资源” 特别说明 开启 “Class-Path 资源” 后，系统将会根据应用根目录下的 “META-INF/MANIFEST.MF” 文件(Class-Path 参数)来加载更多的 jar 等文件到应用中。多个 jar 文件使用空格分隔。 6. 配置完成后，单击“添加”，完成应用部署操作。 若页面弹出“应用添加成功”提示信息，则说明应用部署成功。 在应用列表中，可查看已部署的应用，包含应用名、部署路径、访问前缀、虚拟主机、应用类型、自动部 署、应用状态等。 应用状态，如下所示:。 ◦ “STARTED”:运行中 ◦ “STOPPED”:停止。 ◦ “FAILED”:失败 注意: 若应用 “web.xml” 中已为应用设置 “<default-context-path>test</default-context-path>” 访问前缀， 则应用的访问前缀为 “web.xml” 配置的访问前缀,TongWeb、应用管理、控制台部署、控制台部署注意事项
了解自动部署,自动部署默认“关闭”。若需要自动部署应用，请先进入“基础配置” > “全局配置” > “应用” 下，开启“自动部 署应用”。当开启自动部署后，您只需要将待部署的应用程序包(.war、.jar、.rar、.ear、.car 等)或者应用 程序目录，放置在自动部署目录(默认路径为 “${tongweb.base}/autodeploy”)。 在开启 “自动部署应用” 后，系统默认打开 “自动更新” 开关，TongWeb 服务器将自动且持续监控该目录 中的任何变动。一旦检测到新的应用程序包或应用程序目录被添加，它便会立即启动自动部署流程，无需手 动干预。部署完成后，TongWeb 会在该目录下生成一个名为 “[应用名称].deployed” 的文件作为已部署标 识。,TongWeb、应用管理、自动部署
如何进行自动部署,以如下信息为例进行说明。 • 默认自动部署目录:${tongweb.base}/autodeploy。 • 应用程序包:${tongweb.home}\version*\examples\examples.war 注意事项。 • 部署场景。 ◦ 若部署成功，则生成 “[文件名称].deployed” 标识文件。 ◦ 若部署失败，则生成 “[文件名称].failed” 文件，更新应用需要先卸载后再部署。 • 卸载场景。 ◦ 删除应用(文件夹、*.war、*.jar、*.ear、或其对应的 “[文件名称].deployed” 文件)，系统自动卸载 应用，且生成 “[文件名称].unDeployed” 标识文件。 注:相关解压目录一并删除。 ◦ 支持在页面上直接卸载自动部署应用。 ◦ 卸载应用后，在“应用回收”页面，可查看卸载的应用。 ◦ 在 “应用回收” 页面恢复卸载的应用后，恢复部署到 “${tongweb.base}/deployment” 目录，且不再是 自动部署应用。 • 自动部署的应用。 ◦ 自动部署的应用，支持在页面上进行更新其部署参数。 ◦ 停止 TongWeb，将原本自动部署目录下的应用文件删除，再次启动 TongWeb 后，系统自动清理残 留文件。 ◦ 已经自动部署过的应用(即生成过 “[文件名称].deployed”)，重启后不再触发自动部署。 • 更改自动部署目录 原来的自动部署目录更新为非自动部署目录后，已被自动部署的应用不能受影响。 操作步骤。 1. 将应用程序包拷贝到自动部署目录 “${tongweb.base}/autodeploy”。 2. 在应用列表中，查看已部署的应用。 应用状态为 “STARTED” 表示应用部署成功。 3. 在 “${tongweb.base}/autodeploy” 目录下，可查看到部署成功标识。 还可以通过用户web.xml或者tongweb-web.xml预置配置，详细操作参考用户使用手册,TongWeb、应用管理、自动部署步骤
存在多个应用时，指定应用部署的顺序,通过预置配置，为每个应用添加 “startupPriority” 设置部署顺序。 设置部署顺序后，在服务器启动时，TongWeb 服务器会根据设置的值按从小到大的顺序部署。取值范围为“0-99”。,TongWeb、应用管理、自动部署、应用部署顺序
自动部署注意事项,支持应用程序包和目录两种自动部署方式。部署成功生成 “[文件名称].deployed” 标识文件，失败生成 “[文件名称].failed” 文件。更新应用需先卸载后部署，已自动部署过的应用重启后不再触发自动部署 。,TongWeb、应用管理、自动部署
了解热部署,热部署是应用部署之后，在线实时对应用进行修改，结果会立刻展现,TongWeb、应用管理、热部署
开启热部署,开启“热加载”，即开启热部署，当用户修改 “${tong.base}/deployment” 中的应用的类文件或应用的配 置文件 web.xml 后，应用会自动进行重新部署并将最新的内容提供给用户,TongWeb、应用管理、热部署、打开热部署
如何进行热部署,1. 登录 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“应用管理”> “应用”，进入应用列表页面。 4. 单击“部署”，进入应用部署页面。 5. 单击“资源加载”，进入资源加载页面。 6. 开启 “热加载”，即开启热部署。 7. 其他参数请根据需要进行配置。 8. 配置完成后，单击“添加”，完成应用的部署操作。,TongWeb、应用管理、热部署、热部署步骤
热部署存在的危险,热部署开启 “热加载” 后，修改应用文件会自动重新部署，但在生产环境中可能存在稳定性风险，所以不建议开启。,TongWeb、应用管理、热部署、热部署注意事项
了解命令行部署,TongWeb 支持命令行部署。命令行的启动脚本是以 commandstool 命名的脚本文件，有 bat(Windows) 和 sh(Linux/Unix)两个版本。 启动脚本路径:。 • Windows:${tongweb.home}/bin/windows • Linux:${tongweb.home}/bin 关于 commandstool 的执行方式及基本参数，请参见《TongWeb_V8.0命令行工具手册》，此处提供部署应 用命令的使用说明。,TongWeb、应用管理、命令行部署
如何进行命令行部署,使用 commandstool 部署 Web 应用，如下所示 ${tongweb.home}/bin> sh commandstool.sh --model=app --action=add --username=thanos --password=thanos123.com --acceptAgreement=true --port=9060 --host=localhost appFrom=fromUpload fromUpload=D: \tongweb\version*.x\examples\examples.war 相关参数说明：。 --model TongWeb 管理控制台菜单对应的功能模块名称。 您可以通过执行“commandstool.[bat|sh] --help”查看功能模块名称以及 功能模块介绍。 --action 功能模块包含的操作。 您可以通过执行“commandstool.[bat|sh] –model=modelname --help”查 看操作名称以及操作的详细介绍。 --username TongWeb 服务器授权管理用户的用户名。 --password TongWeb 服务器授权管理用户的密码。 --acceptAgreement 设置为 “true”，表示阅读并同意许可协议。同意许可协议才允许登录 TongWeb 服务器。 --host 应用部署的虚拟主机。 --port 监听网络请求的端口。 appFrom 应用来源，部署的应用可以从客户端上传，也可以通过服务端指定的位置 读取。可设置为“fromUpload”或者“fromServer”。 fromUpload 应用的位置，服务器上应用程序的位置，通常是应用的程序包， 如“.war”、“.jar”、“.ear”、“.rar”。,TongWeb、应用管理、命令行部署、命令行部署应用
如何访问部署后的应用,1. 进入 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择 “应用管理” > “应用”，进入应用列表页面。 4. 在应用所在行的操作列，单击 “链接”，进入链接详情页面。 4. 在应用所在行的操作列，单击 “链接”，进入链接详情页面。 5. 单击生成的链接，即可访问部署的应用,TongWeb、应用管理、应用访问
了解应用监视,"您可以通过监视应用功能，实时监测应用的运行状况，包含阻塞/中断的线程数、当前会话数、资源缓存量、 请求数、错误请求数、请求处理时间,还能查看应用名称、状态、阻塞线程名、Servlet 明细、Filter 明细等 。",TongWeb、应用管理、应用监视
通过控制台查看应用监视,0. 进入TongWeb管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“应用管理”>“应用”，进入应用列表页面。 4. 单击“监视”，进入监视页面。 5. 您可以查看应用的实时阻塞的线程数、当前会话数等。 6. 用户还可查看应用名称、应用状态、阻塞的线程名、Servlet 明细、Filter 明细、WebService 明 细、REST 明细、中断的线程数、资源缓存量(KB)、请求处理总数、错误请求处理总数、请求处理时间 (毫秒)、启动时间以及启动耗时(毫秒)。 说明: 阻塞的线程名为“-1”，表示未开启慢线程检测功能。 若需要开启 “慢线程检测”，则选择 “应用管理” > “应用”，进入目标应用的 “性能” 页签，打开 “慢线程检 测” 开关即可。,TongWeb、应用管理、应用监视
下载监视结果,1. 进入应用列表页面。 2. 单击“监视”，进入监视视图页面。 3. 在监视视图页面，单击鼠标右键，可将监视视图另存为“.png”图片。,TongWeb、应用管理、应用监视、应用下载
通过控制台查看应用,1. 进入 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“应用管理”>“应用”，进入应用列表页面。 4. 您可以查看已部署应用的应用名、部署路径、访问前缀、虚拟主机、应用类型、自动部署、应用状态等。 应用状态，如下所示:。 ◦ “STARTED”:运行中。 ◦ “STOPPED”:停止。 ◦ “STARTING”:正在加载应用 ◦ “DEPLOYING”:部署中。 ◦ “FAILED”:失败,TongWeb、应用管理、应用查看
通过控制台编辑应用,应用部署完成后，若需要修改应用所配置的参数，可通过管理控制台进行并编辑应用。 编辑完成后，系统将会重新部署该应用，使修改生效。 注意事项 SpringBoot 兼容、命名空间兼容不允许编辑。 操作步骤。 1. 进入 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“应用管理”> “应用”，进入应用列表页面。 4. 单击“应用名”链接，进入编辑应用页面。 5. 您可以根据需要修改应用的相关属性配置。 ◦ SpringBoot 兼容、命名空间兼容:不能修改。 ◦ 其它参数:请根据需要进行修改。 6. 修改完成后，单击“更新”，完成应用的编辑操作。 若页面弹出“应用更新成功”，则说明编辑应用成功。,TongWeb、应用管理、应用编辑
通过控制台启动应用,应用部署完成后，默认为 “STARTED” 的状态。若您的应用处于 “STOPPED” 状态，您可以通过管理控制台 启动应用，使应用可以对外提供服务。 注意事项 该操作仅对 Web 类型的应用有效。 前置条件 已部署应用，且应用运行状态为 “STOPPED”。 操作步骤。 1. 进入 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“应用管理”>“应用”，进入应用列表页面。 4. 在应用所在行的操作列，单击“启动”，启动应用。 说明: 用户可根据需要勾选一个或多个应用，并单击列表上方的 “启动” 按钮，批量启动应用。 5. 在弹出的确认窗口中，单击 “确定”，完成启动应用操作。 若页面弹出 “应用启动成功” 提示信息，则说明启动应用成功。,TongWeb、应用管理、应用启动
通过控制台停止应用,应用部署完成后，默认为 “STARTED” 的状态。若该应用需要停止对外提供服务，可对应用执行停止操作。 停止应用后，该应用不再对外提供服务，继续访问该应用，页面将返回 404 错误码。 注意事项。 • 该操作仅对 Web 类型的应用有效。 • 当停止应用时，容器调用 servlet、filter 等的 destory 方法，以便让 Servlet 相关对象可以释放它所使用 的资源。如应用新建的端口、线程需要在 destory 方法中声明销毁。 当启动应用时，相当于进行了部署流程。 操作步骤。 1. 进入 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择 “应用管理” > “应用”，进入应用列表页面。 4. 在应用所在行的操作列，单击 “停止”，停止应用。 说明: 用户可根据需要勾选一个或多个应用，并单击列表上方的 “停止” 按钮，批量停止应用。 5. 在弹出的确认窗口中，单击“确定”，完成停止应用操作。 若界面弹出“应用停止成功”提示信息，则说明应用停止成功。 应用停止后，用户再次访问应用，页面返回“HTTP ERROR 404”，页面无法访问。,TongWeb、应用管理、应用停止
通过控制台卸载应用,已部署的应用若需要停止应用的服务，可对应用执行卸载操作。 卸载应用后，TongWeb 将会把部署的应用从内存中卸载。对于自动部署和上传部署的应用，卸载后，应用 会自动备份到“${tongweb.base}/data/app/recycle”目录。 注意事项。 • 若部署的应用存在关联的“应用增量”，卸载应用时，系统将同步删除应用增量包，并与应用合并为一个应 用，备份到 “${tongweb.base}/data/app/recycle” 目录。 • 若应用卸载后需要恢复应用，您可以在“应用回收”页面或者自动备份的文件，对卸载的应用进行恢复。 控制台卸载。 1. 进入 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“应用管理”>“应用”，进入应用列表页面。 4. 在应用所在行的操作列，单击“卸载”，卸载应用。 5. 在弹出的确认窗口中，单击“确定”，完成卸载应用操作。 若页面弹出“应用卸载成功”提示信息，则说明应用卸载成功。 删除“应用名称.deployed”标志文件 针对自动部署的应用，可通过删除 “应用名称.deployed” 标志文件的方式卸载应用。 1. 进入 “${tongweb.base}/autodeploy” 目录。 2. 删除 “应用名称.deployed” 标志文件，即可卸载应用。,TongWeb、应用管理、应用卸载
了解应用模板,用户可以通过应用模板预定义部署应用的参数。当部署应用时，指定应用模板后，系统将会使用应用模板里 的参数来部署应用。部署应用时指定的其它参数将会被忽略。 用户也可以在“全局配置”中，指定全局应用模板。若部署应用时，没有指定应用模板，则会尝试使用”全局配 置“里的”全局应用模板“。 注意事项 若应用同时配置了自定义描述文件 tongweb-web.xml，则会优先使用 tongweb-web.xml 里面的配置参数。,TongWeb、应用管理、应用模板
通过控制台创建应用模板,1. 进入 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“应用管理”>“应用模板”，进入应用模板页面。 4. 单击“创建”，进入创建应用。 5. 设置应用模板名称、启动优先级、虚拟主机等参数。 其它参数:请根据实际情况配置，详细说明请参见应用模板参数配置说明。 6. 配置完成后，单击“添加”，完成应用模板的创建操作。 若界面弹出“添加应用模板成功”提示信息，则说明创建应用模板成功。模板页面。,TongWeb、应用管理、应用模板创建
通过控制台使用应用模板,指定应用模板后，系统将会使用应用模板里的参数来部署应用。 • 部署应用时指定应用模板。 1. 在左侧导航栏中，选择 “应用管理”>“应用”，进入应用列表页面。 2. 部署应用或者编辑已部署的应用时，进入应用详情页面。 3. 单击“添加”(部署应用时)或“更新”(编辑应用时)，完成应用模板的应用。 • 全局配置时指定应用模板。 1. 在左侧导航栏中，选择 “基础配置”>“全局配置”>“应用”，进入应用配置页面。 2. 在 “全局应用模板” 下拉列表中，选择已创建的应用模板。 3. 单击 “更新”，更新全局配置。若界面弹出 “全局配置更新成功” 提示信息，则说明更新全局配置成功。,TongWeb、应用管理、应用模板使用
通过控制台查看应用模板,1. 进入 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“应用管理”>“应用模板”，进入应用模板页面。 4. 您可以查看已创建的应用模板，包含应用模板的序号、模板名等。,TongWeb、应用管理、应用模板查看
通过控制台修改应用模板,应用模板配置信息修改后，引用该模板的应用需要更新应用(更新应用后，系统将应用重新部署)后才能生 效。 1. 进入 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“应用管理”>“应用模板”，进入应用模板页面。 4. 单击目标应用模板的模板名，进入应用模板详细配置信息页面。 5. 根据需要修改应用模板的相关信息，应用模板的名称、SpringBoot 兼容、命名空间兼容不可修改。 6. 修改完成后，单击 “更新”，即可完成应用模板的编辑操作。,TongWeb、应用管理、应用模板修改
通过控制台删除应用模板,已被应用应用的模板不可删除。 若需要删除应用模板，请先解除相关引用。删除后不可恢复，请谨慎操作。 1. 登录 TongWeb 管理控制台。 2. 切换到目标实例。 3. 在左侧导航栏中，选择“应用管理”>“应用模板”，进入应用模板列表页面。 4. 单击目标应用模板所在行的“删除”，弹出确认删除窗口。 5. 单击“确定”，完成应用模板的删除操作。,TongWeb、应用管理、应用模板删除
了解更新应用功能,您可以通过创建应用增量的方式，以达到更新应用的目的。 应用增量更新包是应用的局部更新文件。 创建应用增量后，应用增量会和目标应用合并到一起，起到更新应用的作用。 一个目标应用可以安装多个增量包，合并时会根据增量包的时间依次叠加进行。 注意事项。 • 实现替换或新增应用文件。 用户可根据需要输入模板的名称，单击 “搜索” 按钮，搜索指定应用模板。 用户可根据需要勾选一个或多个应用模板，并单击列表上方 “删除” 按钮，批量删除应用模板。 需使增量更新包文件组织结构与目标应用保持一致。 • 实现移除目标应用中的文件。 需要在增量更新包根目录建立 “DeleteFiles.txt” 文件，并在其中分行标记要移除的文件，每行记录一个文 件，文件路径为相对于目标应用根目录的相对路径。 • 应用增量更新包必须是“*.zip”类型。,TongWeb、应用管理、更新应用
